"Id","SalePrice"
1461,118655.188939345
1462,157026.164681545
1463,169567.666156429
1464,154941.642475809
1465,172847.030314389
1466,197090.022255535
1467,150387.163363434
1468,154556.454097206
1469,180596.272576592
1470,116660.729445913
1471,178959.257395234
1472,97935.714943267
1473,104475.684374664
1474,143535.050166996
1475,113210.148674909
1476,263069.345475715
1477,212506.241301032
1478,239234.368100744
1479,283540.627908554
1480,337101.549027353
1481,268480.434312911
1482,184016.49935765
1483,156995.347744361
1484,140024.627047937
1485,143186.457140792
1486,208063.734349294
1487,285122.317458759
1488,229551.247483221
1489,163552.584521385
1490,212681.232167744
1491,183940.954492318
1492,125340.78001789
1493,210345.20685399
1494,279815.65845903
1495,216034.042974812
1496,220335.648750319
1497,190259.438674624
1498,133433.187826962
1499,133433.187826962
1500,139724.96764268
1501,166030.337001651
1502,107918.712440517
1503,198064.290050807
1504,223876.270998632
1505,210261.49628821
1506,271595.642564063
1507,283643.63022942
1508,176960.970686266
1509,155611.859482353
1510,155119.886612473
1511,154863.640124033
1512,210431.424188512
1513,154986.564350371
1514,149019.362223467
1515,335439.71935339
1516,133572.622135103
1517,136964.69685661
1518,163929.382432287
1519,207928.9242167
1520,142778.63136775
1521,154883.510060028
1522,215628.627202009
1523,116989.431224878
1524,129882.042128139
1525,128010.796356321
1526,126121.108707409
1527,126121.108707409
1528,115587.21242217
1529,149836.660001166
1530,185748.054057104
1531,170409.107889815
1532,124546.723483481
1533,158048.692383842
1534,115664.720382214
1535,145028.849687481
1536,132973.997978287
1537,112373.620876372
1538,147645.002345491
1539,287493.392606504
1540,263681.802812101
1541,139578.888454401
1542,138952.796643371
1543,226698.389915127
1544,110592.947311354
1545,102428.795020498
1546,118238.752831257
1547,132926.892148987
1548,147659.342314218
1549,100865.288513178
1550,143196.221392533
1551,129959.007357207
1552,224171.439079748
1553,171588.296161883
1554,138643.364244886
1555,217584.384500419
1556,111816.297685617
1557,155821.36140846
1558,93512.1400299529
1559,188453.015460295
1560,161938.879759519
1561,192231.429357306
1562,119872.56958263
1563,116467.916579015
1564,162312.582120439
1565,154957.705108705
1566,219980.447628896
1567,107395.485620617
1568,201546.635869565
1569,139514.239840683
1570,134179.706051669
1571,149836.660001166
1572,149836.660001166
1573,223948.647169131
1574,155610.781995255
1575,198967.910390288
1576,219056.925659137
1577,163863.250219167
1578,145716.306572351
1579,125666.484214547
1580,182720.438554055
1581,129008.182836883
1582,118696.189569706
1583,318742.920597243
1584,228922.397254576
1585,117656.821270591
1586,86750.81976082
1587,128667.627123873
1588,151757.512472674
1589,111030.816490306
1590,139801.62992862
1591,126778.967491805
1592,173621.503241683
1593,116754.073409155
1594,232869.297467667
1595,171545.877980061
1596,206942.170570202
1597,216295.699690072
1598,167679.823422822
1599,125787.635350783
1600,150264.622130501
1601,76296.8306970509
1602,104384.935185185
1603,126770.984761819
1604,232025.077747809
1605,229727.8277884
1606,155469.094838232
1607,250157.138384471
1608,158048.692383842
1609,163439.147447489
1610,166354.366644575
1611,170924.980149463
1612,178857.799972822
1613,157800.438511895
1614,124870.317986192
1615,103595.400081775
1616,103595.400081775
1617,103595.400081775
1618,118544.115184721
1619,112471.513004168
1620,275434.095749004
1621,132731.747308885
1622,144434.253703
1623,283540.627908554
1624,159553.948981892
1625,116660.729445913
1626,176210.884028064
1627,147158.737421939
1628,238302.59488417
1629,148909.27369328
1630,402608.629489888
1631,217156.394627563
1632,302998.591184519
1633,144200.661197879
1634,154721.903076414
1635,177036.324727578
1636,150436.890155075
1637,230690.72351508
1638,204485.375060709
1639,217584.384500419
1640,331344.532444444
1641,261237.759441758
1642,228564.380998328
1643,222829.84513452
1644,219106.763288398
1645,216527.531541319
1646,141037.201654631
1647,150649.283353498
1648,149000.769476811
1649,132920.381224201
1650,118367.351538187
1651,118367.351538187
1652,97935.714943267
1653,97935.714943267
1654,167182.418837948
1655,129504.557051014
1656,143535.050166996
1657,167182.418837948
1658,143535.050166996
1659,113210.148674909
1660,140901.407455742
1661,328333.903856094
1662,305111.706118567
1663,318799.105392157
1664,394191.029271039
1665,276497.495477251
1666,276360.016984707
1667,287997.659711568
1668,275970.399542303
1669,222817.746000371
1670,283540.627908554
1671,275583.382610453
1672,337101.549027353
1673,252833.975919237
1674,216292.927577185
1675,183290.593178448
1676,175270.163369335
1677,183290.593178448
1678,394191.029271039
1679,315921.825535289
1680,320510.882865341
1681,207432.222546285
1682,271470.830011486
1683,188106.352845339
1684,166866.673906924
1685,166017.67045614
1686,163452.57923776
1687,143186.457140792
1688,168317.122472784
1689,167087.569945078
1690,155083.807745987
1691,142997.390645395
1692,231209.87745491
1693,143186.457140792
1694,166816.13765525
1695,147881.478243325
1696,278759.063436482
1697,147881.478243325
1698,318593.880681818
1699,317627.492137269
1700,231758.747362904
1701,250538.004461895
1702,233896.867521553
1703,217673.019789823
1704,261265.858761561
1705,178819.938003439
1706,394191.029271039
1707,179105.183822865
1708,163638.578930458
1709,212213.35458831
1710,205217.44737346
1711,215277.750360635
1712,282595.794606094
1713,217841.019585086
1714,212563.34978183
1715,189720.340232161
1716,154768.413244954
1717,142776.482021961
1718,146235.825691453
1719,213437.421641066
1720,210431.424188512
1721,141092.085597903
1722,141092.085597903
1723,141092.085597903
1724,205217.44737346
1725,234918.886555466
1726,202494.642557861
1727,178861.8493291
1728,174302.456224438
1729,163923.187979197
1730,163248.808385804
